산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
부동산 관련 서비스업,1028,3356,28,108,39,176,38,66,46,82,41,117,40,99,20,86,45,105,70,190,57,190,51,123,45,110,39,49,51,64,52,107,44,78,66,134,81,137,81,1144,94,191
부동산 관리업,176,2170,11,85,10,143,3,20,6,29,9,70,10,56,3,63,10,56,17,94,9,111,9,59,11,65,1,2,2,2,6,44,4,25,11,58,11,51,18,1055,15,82
주거용 부동산 관리업,120,1889,9,70,8,128,3,20,4,27,9,70,9,55,1,3,8,48,9,68,6,74,6,55,7,53,1,2,1,1,5,37,2,12,6,43,3,22,15,1045,8,56
비주거용 부동산 관리업,56,281,2,15,2,15,,,2,2,,,1,1,2,60,2,8,8,26,3,37,3,4,4,12,,,1,1,1,7,2,13,5,15,8,29,3,10,7,26
"부동산 중개, 자문 및 감정평가업",852,1186,17,23,29,33,35,46,40,53,32,47,30,43,17,23,35,49,53,96,48,79,42,64,34,45,38,47,49,62,46,63,40,53,55,76,70,86,63,89,79,109
부동산 중개 및 대리업,846,1175,17,23,29,33,35,46,40,53,31,46,30,43,16,22,35,49,53,96,46,77,41,62,34,45,38,47,49,62,46,63,40,53,55,76,70,86,62,84,79,109
부동산 투자자문업,5,10,,,,,,,,,1,1,,,1,1,,,,,1,1,1,2,,,,,,,,,,,,,,,1,5,,
부동산 감정평가업,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
"전문, 과학 및 기술 서비스업",480,5384,2,7,2,7,58,1040,33,139,9,16,6,11,13,230,10,42,9,21,17,107,12,494,45,2095,4,11,12,28,5,11,58,353,100,351,43,170,19,68,23,183
연구개발업,69,2163,,,,,32,264,,,,,1,3,4,20,1,1,1,2,2,6,1,7,15,1762,,,,,,,4,15,2,14,2,10,1,3,3,56
자연과학 및 공학 연구개발업,53,2006,,,,,29,217,,,,,1,3,2,7,,,1,2,2,6,,,12,1721,,,,,,,,,2,14,2,10,1,3,1,23
자연과학 연구개발업,29,232,,,,,20,175,,,,,1,3,,,,,1,2,,,,,3,28,,,,,,,,,2,14,2,10,,,,
"물리, 화학 및 생물학 연구개발업",8,53,,,,,3,15,,,,,1,3,,,,,,,,,,,3,28,,,,,,,,,,,1,7,,,,
농림수산학 및 수의학 연구개발업,1,8,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의학 및 약학 연구개발업,19,164,,,,,15,145,,,,,,,,,,,1,2,,,,,,,,,,,,,,,2,14,1,3,,,,
기타 자연과학 연구개발업,1,7,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공학 연구개발업,23,1773,,,,,9,42,,,,,,,2,7,,,,,2,6,,,8,1692,,,,,,,,,,,,,1,3,1,23
전기ㆍ전자공학 연구개발업,15,1749,,,,,7,38,,,,,,,1,5,,,,,,,,,5,1680,,,,,,,,,,,,,1,3,1,23
기타 공학 연구개발업,8,24,,,,,2,4,,,,,,,1,2,,,,,2,6,,,3,12,,,,,,,,,,,,,,,,
자연과학 및 공학 융합 연구개발업,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
자연과학 및 공학 융합 연구개발업,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
인문 및 사회과학 연구개발업,16,157,,,,,3,47,,,,,,,2,13,1,1,,,,,1,7,3,41,,,,,,,4,15,,,,,,,2,33
인문 및 사회과학 연구개발업,16,157,,,,,3,47,,,,,,,2,13,1,1,,,,,1,7,3,41,,,,,,,4,15,,,,,,,2,33
경제 및 경영학 연구개발업,3,49,,,,,2,43,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 인문 및 사회과학 연구개발업,13,108,,,,,1,4,,,,,,,1,7,1,1,,,,,1,7,3,41,,,,,,,4,15,,,,,,,2,33
전문 서비스업,158,2092,,,2,7,10,714,10,79,7,14,2,4,3,152,6,38,2,8,7,61,6,469,10,64,2,6,4,8,,,14,143,50,194,8,36,7,38,8,57
법무관련 서비스업,25,59,,,1,6,1,2,1,1,,,,,1,1,1,3,1,5,3,7,,,1,3,,,1,2,,,3,5,9,21,,,2,3,,
법무관련 서비스업,25,59,,,1,6,1,2,1,1,,,,,1,1,1,3,1,5,3,7,,,1,3,,,1,2,,,3,5,9,21,,,2,3,,
변호사업,5,9,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,,,,,,
법무사업,13,41,,,1,6,,,,,,,,,,,,,1,5,2,6,,,1,3,,,1,2,,,,,6,17,,,1,2,,
기타 법무관련 서비스업,7,9,,,,,,,,,,,,,1,1,1,3,,,1,1,,,,,,,,,,,1,1,2,2,,,1,1,,
회계 및 세무관련 서비스업,38,227,,,,,,,4,33,,,,,,,,,,,1,4,1,6,1,35,,,,,,,1,13,23,113,4,12,1,1,2,10
회계 및 세무관련 서비스업,38,227,,,,,,,4,33,,,,,,,,,,,1,4,1,6,1,35,,,,,,,1,13,23,113,4,12,1,1,2,10
공인회계사업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
세무사업,37,225,,,,,,,4,33,,,,,,,,,,,1,4,1,6,1,35,,,,,,,1,13,22,111,4,12,1,1,2,10
광고업,43,135,,,1,1,2,13,1,2,6,13,2,4,1,13,1,2,1,3,1,1,2,5,2,4,2,6,1,1,,,3,11,11,31,3,11,1,11,2,3
광고 대행업,23,82,,,1,1,1,6,1,2,4,7,1,3,1,13,1,2,,,1,1,,,1,2,1,3,,,,,2,10,4,9,2,10,1,11,1,2
광고 대행업,23,82,,,1,1,1,6,1,2,4,7,1,3,1,13,1,2,,,1,1,,,1,2,1,3,,,,,2,10,4,9,2,10,1,11,1,2
기타 광고업,20,53,,,,,1,7,,,2,6,1,1,,,,,1,3,,,2,5,1,2,1,3,1,1,,,1,1,7,22,1,1,,,1,1
옥외 및 전시 광고업,4,14,,,,,,,,,,,,,,,,,,,,,1,3,1,2,,,,,,,,,2,9,,,,,,
"광고물 문안, 도안, 설계 등 작성업",13,32,,,,,1,7,,,,,1,1,,,,,1,3,,,1,2,,,1,3,,,,,1,1,5,13,1,1,,,1,1
그 외 기타 광고 관련 서비스업,3,7,,,,,,,,,2,6,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
시장조사 및 여론조사업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,
시장조사 및 여론조사업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,
시장조사 및 여론조사업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,
회사 본부 및 경영 컨설팅 서비스업,47,819,,,,,6,25,4,43,1,1,,,,,3,5,,,2,49,3,458,6,22,,,2,5,,,6,111,6,20,1,13,3,23,4,44
회사 본부,8,603,,,,,,,2,37,,,,,,,,,,,,,3,458,,,,,,,,,1,66,,,1,13,,,1,29
제조업 회사 본부,7,596,,,,,,,1,30,,,,,,,,,,,,,3,458,,,,,,,,,1,66,,,1,13,,,1,29
기타 산업 회사 본부,1,7,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경영 컨설팅 및 공공 관계 서비스업,39,216,,,,,6,25,2,6,1,1,,,,,3,5,,,2,49,,,6,22,,,2,5,,,5,45,6,20,,,3,23,3,15
경영 컨설팅업,36,199,,,,,6,25,1,2,,,,,,,3,5,,,2,49,,,6,22,,,2,5,,,5,45,6,20,,,3,23,2,3
공공관계 서비스업,3,17,,,,,,,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12
기타 전문 서비스업,4,849,,,,,1,674,,,,,,,1,138,1,28,,,,,,,,,,,,,,,,,1,9,,,,,,
기타 전문 서비스업,4,849,,,,,1,674,,,,,,,1,138,1,28,,,,,,,,,,,,,,,,,1,9,,,,,,
기타 전문 서비스업,4,849,,,,,1,674,,,,,,,1,138,1,28,,,,,,,,,,,,,,,,,1,9,,,,,,
"건축기술, 엔지니어링 및 기타 과학기술 서비스업",85,657,2,7,,,9,44,5,19,1,1,,,2,49,,,,,1,3,3,10,11,242,,,2,8,,,17,129,20,51,6,28,2,9,4,57
"건축기술, 엔지니어링 및 관련 기술 서비스업",68,435,2,7,,,5,10,3,13,1,1,,,2,49,,,,,1,3,2,6,7,154,,,2,8,,,14,92,19,50,6,28,2,9,2,5
건축 및 조경 설계 서비스업,50,225,2,7,,,3,3,1,3,1,1,,,1,48,,,,,1,3,1,3,3,3,,,1,4,,,13,86,18,40,4,17,1,7,,
건축설계 및 관련 서비스업,47,175,2,7,,,1,1,1,3,1,1,,,,,,,,,1,3,1,3,3,3,,,1,4,,,13,86,18,40,4,17,1,7,,
도시계획 및 조경설계 서비스업,3,50,,,,,2,2,,,,,,,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,
엔지니어링 서비스업,18,210,,,,,2,7,2,10,,,,,1,1,,,,,,,1,3,4,151,,,1,4,,,1,6,1,10,2,11,1,2,2,5
건물 및 토목 엔지니어링 서비스업,11,54,,,,,2,7,2,10,,,,,1,1,,,,,,,1,3,2,13,,,1,4,,,1,6,1,10,,,,,,
환경 관련 엔지니어링 서비스업,3,139,,,,,,,,,,,,,,,,,,,,,,,2,138,,,,,,,,,,,,,,,1,1
기타 엔지니어링 서비스업,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,1,2,1,4
기타 과학기술 서비스업,17,222,,,,,4,34,2,6,,,,,,,,,,,,,1,4,4,88,,,,,,,3,37,1,1,,,,,2,52
"기술 시험, 검사 및 분석업",12,161,,,,,2,11,1,4,,,,,,,,,,,,,1,4,4,88,,,,,,,1,1,1,1,,,,,2,52
물질성분 검사 및 분석업,4,44,,,,,1,4,,,,,,,,,,,,,,,1,4,1,35,,,,,,,1,1,,,,,,,,
"기타 기술 시험, 검사 및 분석업",8,117,,,,,1,7,1,4,,,,,,,,,,,,,,,3,53,,,,,,,,,1,1,,,,,2,52
"측량, 지질조사 및 지도제작업",5,61,,,,,2,23,1,2,,,,,,,,,,,,,,,,,,,,,,,2,36,,,,,,,,
측량업,3,57,,,,,2,23,,,,,,,,,,,,,,,,,,,,,,,,,1,34,,,,,,,,
제도업,2,4,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
"기타 전문, 과학 및 기술 서비스업",168,472,,,,,7,18,18,41,1,1,3,4,4,9,3,3,6,11,7,37,2,8,9,27,2,5,6,12,5,11,23,66,28,92,27,96,9,18,8,13
수의업,36,178,,,,,,,2,9,,,1,2,,,1,1,3,8,5,35,1,7,5,20,1,2,1,3,3,6,3,13,2,8,3,53,3,7,2,4
수의업,36,178,,,,,,,2,9,,,1,2,,,1,1,3,8,5,35,1,7,5,20,1,2,1,3,3,6,3,13,2,8,3,53,3,7,2,4
수의업,36,178,,,,,,,2,9,,,1,2,,,1,1,3,8,5,35,1,7,5,20,1,2,1,3,3,6,3,13,2,8,3,53,3,7,2,4
전문 디자인업,49,136,,,,,1,10,6,10,,,1,1,2,7,,,,,,,,,1,1,,,2,4,1,4,11,38,13,45,7,10,1,1,3,5
전문 디자인업,49,136,,,,,1,10,6,10,,,1,1,2,7,,,,,,,,,1,1,,,2,4,1,4,11,38,13,45,7,10,1,1,3,5
인테리어 디자인업,12,45,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,4,21,4,19,2,2,,,1,2
제품 디자인업,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,3,16,2,2,,,,
시각 디자인업,13,31,,,,,,,1,2,,,,,2,7,,,,,,,,,,,,,1,3,,,4,10,3,6,2,3,,,,
"패션, 섬유류 및 기타 전문 디자인업",17,40,,,,,1,10,5,8,,,,,,,,,,,,,,,1,1,,,,,1,4,2,6,3,4,1,3,1,1,2,3
사진 촬영 및 처리업,74,117,,,,,6,8,7,14,1,1,1,1,2,2,2,2,3,3,2,2,1,1,3,6,1,3,3,5,1,1,8,12,10,18,16,26,4,8,3,4
사진 촬영 및 처리업,74,117,,,,,6,8,7,14,1,1,1,1,2,2,2,2,3,3,2,2,1,1,3,6,1,3,3,5,1,1,8,12,10,18,16,26,4,8,3,4
인물사진 및 행사용 영상 촬영업,57,92,,,,,3,3,7,14,1,1,1,1,1,1,2,2,3,3,2,2,1,1,2,4,1,3,3,5,1,1,5,7,7,14,12,22,3,5,2,3
상업용 사진 촬영업,4,4,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
사진 처리업,13,21,,,,,1,3,,,,,,,1,1,,,,,,,,,1,2,,,,,,,3,5,3,4,3,3,1,3,,
"그 외 기타 전문, 과학 및 기술 서비스업",9,41,,,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,1,3,3,21,1,7,1,2,,
"그 외 기타 전문, 과학 및 기술 서비스업",9,41,,,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,1,3,3,21,1,7,1,2,,
매니저업,4,29,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,1,3,2,20,,,,,,
번역 및 통역 서비스업,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,,,,
사업 및 무형 재산권 중개업,2,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"사업시설 관리, 사업 지원 및 임대 서비스업",264,5624,3,161,2,920,27,140,17,841,9,13,3,21,3,7,5,41,8,202,17,385,11,174,20,368,3,3,8,46,4,13,27,95,29,335,28,741,19,106,21,1012
사업시설 관리 및 조경 서비스업,30,2372,,,1,897,1,35,2,782,,,1,1,,,,,1,187,,,4,52,3,314,1,1,2,5,1,2,4,11,1,34,2,36,5,11,1,4
사업시설 유지·관리 서비스업,6,322,,,,,,,,,,,,,,,,,,,,,,,3,314,,,,,,,2,7,,,,,1,1,,
사업시설 유지·관리 서비스업,6,322,,,,,,,,,,,,,,,,,,,,,,,3,314,,,,,,,2,7,,,,,1,1,,
사업시설 유지·관리 서비스업,6,322,,,,,,,,,,,,,,,,,,,,,,,3,314,,,,,,,2,7,,,,,1,1,,
건물ㆍ산업설비 청소 및 방제 서비스업,24,2050,,,1,897,1,35,2,782,,,1,1,,,,,1,187,,,4,52,,,1,1,2,5,1,2,2,4,1,34,2,36,4,10,1,4
건물 및 산업설비 청소업,15,1049,,,,,,,1,764,,,1,1,,,,,1,187,,,3,45,,,1,1,2,5,,,2,4,,,2,36,2,6,,
건축물 일반 청소업,12,1008,,,,,,,1,764,,,,,,,,,1,187,,,2,6,,,,,2,5,,,2,4,,,2,36,2,6,,
"산업설비, 운송장비 및 공공장소 청소업",3,41,,,,,,,,,,,1,1,,,,,,,,,1,39,,,1,1,,,,,,,,,,,,,,
"소독, 구충 및 방제 서비스업",9,1001,,,1,897,1,35,1,18,,,,,,,,,,,,,1,7,,,,,,,1,2,,,1,34,,,2,4,1,4
"소독, 구충 및 방제 서비스업",9,1001,,,1,897,1,35,1,18,,,,,,,,,,,,,1,7,,,,,,,1,2,,,1,34,,,2,4,1,4
사업지원 서비스업,171,3014,1,156,,,23,75,13,55,6,7,2,20,2,6,5,41,4,9,15,380,2,73,8,29,,,2,27,3,11,18,72,25,292,20,681,10,87,12,993
고용알선 및 인력공급업,43,1649,1,156,,,,,2,23,2,3,,,,,,,1,1,9,353,,,1,11,,,1,10,,,2,4,5,88,4,12,6,13,9,975
고용 알선업,25,83,,,,,,,1,5,2,3,,,,,,,1,1,5,19,,,,,,,1,10,,,1,1,1,11,3,8,4,8,6,17
고용 알선업,25,83,,,,,,,1,5,2,3,,,,,,,1,1,5,19,,,,,,,1,10,,,1,1,1,11,3,8,4,8,6,17
인력 공급업,18,1566,1,156,,,,,1,18,,,,,,,,,,,4,334,,,1,11,,,,,,,1,3,4,77,1,4,2,5,3,958
임시 및 일용 인력 공급업,12,292,1,156,,,,,1,18,,,,,,,,,,,3,64,,,1,11,,,,,,,,,2,33,1,4,2,5,1,1
상용 인력 공급 및 인사관리 서비스업,6,1274,,,,,,,,,,,,,,,,,,,1,270,,,,,,,,,,,1,3,2,44,,,,,2,957
여행사 및 기타 여행보조 서비스업,27,121,,,,,,,,,,,,,,,2,30,3,8,2,3,,,3,7,,,,,1,1,7,35,4,11,3,21,1,2,1,3
여행사업,22,105,,,,,,,,,,,,,,,2,30,3,8,1,2,,,2,4,,,,,1,1,6,34,4,11,1,10,1,2,1,3
여행사업,22,105,,,,,,,,,,,,,,,2,30,3,8,1,2,,,2,4,,,,,1,1,6,34,4,11,1,10,1,2,1,3
기타 여행보조 및 예약 서비스업,5,16,,,,,,,,,,,,,,,,,,,1,1,,,1,3,,,,,,,1,1,,,2,11,,,,
기타 여행 보조 및 예약 서비스업,5,16,,,,,,,,,,,,,,,,,,,1,1,,,1,3,,,,,,,1,1,,,2,11,,,,
"경비, 경호 및 탐정업",4,84,,,,,2,6,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,1,67,,
경비 및 경호 서비스업,3,73,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,,
경비 및 경호 서비스업,3,73,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,,
보안시스템 서비스업,1,11,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보안시스템 서비스업,1,11,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 사업지원 서비스업,97,1160,,,,,21,69,11,32,4,4,1,9,2,6,3,11,,,4,24,2,73,4,11,,,1,17,2,10,9,33,16,193,13,648,2,5,2,15
사무지원 서비스업,39,85,,,,,16,43,2,2,,,,,1,4,1,1,,,1,1,1,2,3,4,,,,,,,1,1,6,12,5,12,1,1,1,2
문서 작성업,4,5,,,,,,,2,2,,,,,,,,,,,,,1,2,,,,,,,,,,,1,1,,,,,,
복사업,33,75,,,,,15,39,,,,,,,1,4,1,1,,,1,1,,,3,4,,,,,,,1,1,5,11,5,12,,,1,2
기타 사무지원 서비스업,2,5,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
그 외 기타 사업지원 서비스업,58,1075,,,,,5,26,9,30,4,4,1,9,1,2,2,10,,,3,23,1,71,1,7,,,1,17,2,10,8,32,10,181,8,636,1,4,1,13
콜센터 및 텔레마케팅 서비스업,9,777,,,,,,,,,,,,,,,,,,,,,1,71,,,,,,,,,2,4,4,101,2,601,,,,
"전시, 컨벤션 및 행사 대행업",11,58,,,,,,,1,2,,,,,,,1,5,,,,,,,,,,,,,,,4,19,2,22,3,10,,,,
신용 조사 및 추심 대행업,2,39,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,36,,,,,,
포장 및 충전업,15,64,,,,,5,26,5,14,,,,,,,,,,,,,,,1,7,,,,,1,7,,,1,2,1,4,1,4,,
그 외 기타 분류 안된 사업지원 서비스업,21,137,,,,,,,2,11,4,4,1,9,1,2,1,5,,,3,23,,,,,,,1,17,1,3,2,9,2,20,2,21,,,1,13
임대업; 부동산 제외,63,238,2,5,1,23,3,30,2,4,3,6,,,1,1,,,3,6,2,5,5,49,9,25,2,2,4,14,,,5,12,3,9,6,24,4,8,8,15
운송장비 임대업,9,18,1,4,,,,,,,1,1,,,,,,,,,,,,,2,5,,,,,,,1,1,,,,,1,4,3,3
자동차 임대업,8,14,,,,,,,,,1,1,,,,,,,,,,,,,2,5,,,,,,,1,1,,,,,1,4,3,3
자동차 임대업,8,14,,,,,,,,,1,1,,,,,,,,,,,,,2,5,,,,,,,1,1,,,,,1,4,3,3
기타 운송장비 임대업,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 운송장비 임대업,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개인 및 가정용품 임대업,36,172,1,1,1,23,3,30,1,1,,,,,1,1,,,3,6,1,4,3,42,6,18,2,2,2,6,,,1,4,2,2,5,23,2,2,2,7
스포츠 및 레크리에이션 용품 임대업,5,8,,,,,,,,,,,,,1,1,,,,,,,,,1,2,,,,,,,,,,,,,2,2,1,3
스포츠 및 레크리에이션 용품 임대업,5,8,,,,,,,,,,,,,1,1,,,,,,,,,1,2,,,,,,,,,,,,,2,2,1,3
기타 개인 및 가정용품 임대업,31,164,1,1,1,23,3,30,1,1,,,,,,,,,3,6,1,4,3,42,5,16,2,2,2,6,,,1,4,2,2,5,23,,,1,4
서적 임대업,14,82,1,1,,,2,11,,,,,,,,,,,2,2,,,1,40,2,7,2,2,,,,,,,1,1,3,18,,,,
의류 임대업,5,11,,,,,,,,,,,,,,,,,1,4,,,2,2,,,,,,,,,,,,,2,5,,,,
그 외 기타 개인 및 가정용품 임대업,12,71,,,1,23,1,19,1,1,,,,,,,,,,,1,4,,,3,9,,,2,6,,,1,4,1,1,,,,,1,4
산업용 기계 및 장비 임대업,18,48,,,,,,,1,3,2,5,,,,,,,,,1,1,2,7,1,2,,,2,8,,,3,7,1,7,1,1,1,2,3,5
건설 및 토목공사용 기계·장비 임대업,4,9,,,,,,,1,3,1,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,3
건설 및 토목공사용 기계·장비 임대업,4,9,,,,,,,1,3,1,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,3
컴퓨터 및 사무용 기계·장비 임대업,11,29,,,,,,,,,1,4,,,,,,,,,,,2,7,,,,,2,8,,,3,7,,,1,1,,,2,2
컴퓨터 및 사무용 기계·장비 임대업,11,29,,,,,,,,,1,4,,,,,,,,,,,2,7,,,,,2,8,,,3,7,,,1,1,,,2,2
기타 산업용 기계 및 장비 임대업,3,10,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,7,,,1,2,,
기타 산업용 기계 및 장비 임대업,3,10,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,7,,,1,2,,
"공공행정, 국방 및 사회보장 행정",51,3308,1,22,2,68,1,21,4,82,2,19,2,48,2,22,3,65,3,105,2,25,2,78,2,23,1,23,2,83,2,49,4,66,6,1782,1,23,6,634,3,70
"공공행정, 국방 및 사회보장 행정",51,3308,1,22,2,68,1,21,4,82,2,19,2,48,2,22,3,65,3,105,2,25,2,78,2,23,1,23,2,83,2,49,4,66,6,1782,1,23,6,634,3,70
입법 및 일반 정부 행정,25,1950,1,22,1,19,1,21,2,29,1,18,1,21,1,21,1,22,1,28,1,23,1,26,1,22,1,23,1,23,1,21,2,33,3,1457,1,23,2,70,1,28
일반 공공 행정,25,1950,1,22,1,19,1,21,2,29,1,18,1,21,1,21,1,22,1,28,1,23,1,26,1,22,1,23,1,23,1,21,2,33,3,1457,1,23,2,70,1,28
입법기관,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,,
지방행정 집행기관,21,1745,1,22,1,19,1,21,1,18,1,18,1,21,1,21,1,22,1,28,1,23,1,26,1,22,1,23,1,23,1,21,1,22,2,1317,1,23,1,27,1,28
재정 및 경제정책 행정,2,151,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,1,140,,,,,,
기타 일반 공공 행정,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,
사회 및 산업정책 행정,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,
사회서비스 관리 행정,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,
보건 및 복지 행정,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,
외무 및 국방 행정,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
국방 행정,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
국방 행정,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
사법 및 공공질서 행정,24,1335,,,1,49,,,2,53,1,1,1,27,1,1,2,43,2,77,1,2,1,52,1,1,,,1,60,1,28,2,33,3,325,,,3,551,1,32
사법 및 공공질서 행정,24,1335,,,1,49,,,2,53,1,1,1,27,1,1,2,43,2,77,1,2,1,52,1,1,,,1,60,1,28,2,33,3,325,,,3,551,1,32
경찰,20,984,,,1,49,,,2,53,1,1,1,27,1,1,2,43,1,41,1,2,1,52,1,1,,,1,60,,,2,33,2,297,,,2,292,1,32
소방서,4,351,,,,,,,,,,,,,,,,,1,36,,,,,,,,,,,1,28,,,1,28,,,1,259,,
교육 서비스업,1368,21947,37,664,62,446,61,4764,35,332,68,159,55,336,32,2511,55,1130,104,957,62,180,85,592,57,1412,32,221,22,206,30,342,98,867,113,1792,148,2402,136,940,76,1694
교육 서비스업,1368,21947,37,664,62,446,61,4764,35,332,68,159,55,336,32,2511,55,1130,104,957,62,180,85,592,57,1412,32,221,22,206,30,342,98,867,113,1792,148,2402,136,940,76,1694
초등 교육기관,78,3115,4,211,7,327,2,57,6,184,2,27,2,163,2,71,3,122,10,410,,,3,189,2,40,4,99,4,143,4,165,4,99,2,103,6,297,6,222,5,186
유아 교육기관,49,806,2,37,6,160,1,8,4,53,2,27,,,1,9,2,52,7,106,,,1,13,2,40,3,38,2,15,2,20,3,45,1,17,3,53,4,71,3,42
유아 교육기관,49,806,2,37,6,160,1,8,4,53,2,27,,,1,9,2,52,7,106,,,1,13,2,40,3,38,2,15,2,20,3,45,1,17,3,53,4,71,3,42
초등학교,29,2309,2,174,1,167,1,49,2,131,,,2,163,1,62,1,70,3,304,,,2,176,,,1,61,2,128,2,145,1,54,1,86,3,244,2,151,2,144
초등학교,29,2309,2,174,1,167,1,49,2,131,,,2,163,1,62,1,70,3,304,,,2,176,,,1,61,2,128,2,145,1,54,1,86,3,244,2,151,2,144
중등 교육기관,32,2371,3,166,,,2,141,,,,,,,3,245,1,98,2,173,,,2,183,1,70,1,75,,,1,66,5,312,4,304,2,139,3,255,2,144
일반 중등 교육기관,29,2149,2,110,,,2,141,,,,,,,3,245,1,98,2,173,,,1,83,1,70,1,75,,,1,66,4,246,4,304,2,139,3,255,2,144
중학교,18,1184,2,110,,,1,38,,,,,,,2,152,,,1,81,,,1,83,1,70,1,75,,,1,66,3,161,1,60,1,64,2,158,1,66
일반 고등학교,11,965,,,,,1,103,,,,,,,1,93,1,98,1,92,,,,,,,,,,,,,1,85,3,244,1,75,1,97,1,78
특성화 고등학교,3,222,1,56,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,1,66,,,,,,,,
상업 및 정보산업 특성화 고등학교,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,66,,,,,,,,
공업 특성화 고등학교,1,100,,,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,
