순번,회사명,공장대표주소(도로명),업종번호,업종명
159,(주)대영이엔씨 제2공장,충청남도 아산시 둔포면 윤보선로336번길 71-21,"24132, ",강관 제조업
160,(주)대영정밀,충청남도 아산시 인주면 인주산단로 75-27 (대영정밀),"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종
161,(주)대왕,충청남도 아산시 염치읍 아산로 645-50,"23991, 23322",아스팔트 콘크리트 및 혼합제품 제조업 외 1 종
162,(주)대원엔비폴,충청남도 아산시 영인면 토정로191번길 30,"22251, ",폴리스티렌 발포 성형제품 제조업
163,(주)대유홀딩스,충청남도 아산시 탕정면 선문로254번길 12,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
164,(주)대정테크,충청남도 아산시 음봉면 연암율금로295번길 68-47,"22213, ",플라스틱 시트 및 판 제조업
165,(주)대진,충청남도 아산시 음봉면 연암율금로 176-10,"22213, ",플라스틱 시트 및 판 제조업
166,(주)대창스틸,충청남도 아산시 둔포면 아산밸리동로 58 (총 7 필지) 외 6필지,"24199, ",그 외 기타 1차 철강 제조업
167,(주)대평,"충청남도 아산시 신창면 행목로 11-28, (주) 대평","25111, ","금속 문, 창, 셔터 및 관련제품 제조업"
168,(주)대한,충청남도 아산시 신창면 남성길 229,"25113, 25114, 29163, 30399",육상 금속 골조 구조재 제조업 외 3 종
169,(주)대한버티미,충청남도 아산시 신창면 남성길 241-13,"25113, ",육상 금속 골조 구조재 제조업
170,(주)대한알미늄,충청남도 아산시 둔포면 관대안길 62-50,"17909, ",그 외 기타 종이 및 판지 제품 제조업
171,(주)대한엔지니어링,충청남도 아산시 음봉면 산동리 1018 외 1필지,"28123, 29192",배전반 및 전기 자동제어반 제조업 외 1 종
172,(주)대한인더스트리,충청남도 아산시 음봉면 연암산로 62-6,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
173,(주)대한테크,충청남도 아산시 음봉면 아산밸리로459번길 35,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
174,(주)대현,충청남도 아산시 영인면 아산호로 710-16 외 1필지,"29223, ",금속 절삭기계 제조업
175,(주)대호스틸,충청남도 아산시 신창면 가내길 37,"24199, ",그 외 기타 1차 철강 제조업
176,(주)대홍산업,충청남도 아산시 도고면 아산만로 84 ((주)대홍산업),"22212, 22213",플라스틱 필름 제조업 외 1 종
177,(주)대화에스피플러스,충청남도 아산시 환경공원로 105 (실옥동),"17124, ","적층, 합성 및 특수표면처리 종이 제조업"
178,(주)대화제지,충청남도 아산시 환경공원로 105 (실옥동) 외 2필지,"17129, ",기타 종이 및 판지 제조업
179,(주)대흥금속,충청남도 아산시 신창면 궁화리 912,"29172, 29171",공기 조화장치 제조업 외 1 종
180,(주)더원산업,충청남도 아산시 온천대로1122번길 36-13 (득산동),"22232, 13992, 13999, 22229",포장용 플라스틱 성형용기 제조업 외 3 종
181,(주)더캠,"충청남도 아산시 신창면 행목로 76, 1동 106호","26421, ",방송장비 제조업
182,(주)덕산스틸,충청남도 아산시 음봉면 월산로 204-7,"24199, ",그 외 기타 1차 철강 제조업
183,(주)덕성,충청남도 아산시 영인면 신봉리 291-15,"25113, ",육상 금속 골조 구조재 제조업
184,(주)덕수기업,"충청남도 아산시 음봉면 연암산로 71-13, 에이동(A동)","28511, 25929",주방용 전기기기 제조업 외 1 종
185,(주)도스코,충청남도 아산시 둔포면 아산밸리남로110번길 99 (둔포면),"30310, 30400",자동차 엔진용 신품 부품 제조업 외 1 종
186,(주)도하미디어텍,"충청남도 아산시 시민로234번길 4-11, 1층 상가동 (용화동)","26421, ",방송장비 제조업
187,(주)도하미디어텍 2공장,"충청남도 아산시 시민로234번길 4-25, 1층(용화동)","26421, ",방송장비 제조업
188,(주)동광보일러,충청남도 아산시 탕정면 음봉로 850,"25121, 25130, 29150",산업용 난방보일러 및 방열기 제조업 외 2 종
189,(주)동광보일러,충청남도 아산시 수장로 67 (배미동),"25121, 25122, 25130, 29150",산업용 난방보일러 및 방열기 제조업 외 3 종
190,(주)동국 아산공장,충청남도 아산시 둔포면 윤보선로 361-18,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
191,(주)동명로지텍,"충청남도 아산시 산동로 309 (음봉면, (주)동명로지텍)","29120, ",유압기기 제조업
192,(주)동서피앤씨,충청남도 아산시 둔포면 운용길 8-27,"20202, ",합성수지 및 기타 플라스틱 물질 제조업
193,(주)동성산업,충청남도 아산시 영인면 아산호로 620 외 8필지,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종
194,(주)동성정공,충청남도 아산시 순천향로 664-15 (장존동),"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종
195,(주)동아테코,충청남도 아산시 염치읍 염치로151번길 25,"18112, ",스크린 인쇄업
196,(주)동양/건재부문 아산공장,충청남도 아산시 영인면 아산온천로 16-99 외 2필지,"23322, ",레미콘 제조업
197,(주)동양산업,충청남도 아산시 인주면 현대로 1181-98 (동양산업),"25112, ",구조용 금속 판제품 및 공작물 제조업
198,(주)동양엔지니어링,충청남도 아산시 둔포면 산전길55번길 76,"32029, ",기타 목재가구 제조업
199,(주)동양정밀,충청남도 아산시 영인면 토정로 140,"30320, 20411",자동차 차체용 신품 부품 제조업 외 1 종
200,(주)동우리빙아트,충청남도 아산시 도고면 벚꽃로694번길 81-31,"25992, ",수동식 식품 가공기기 및 금속 주방용기 제조업
201,(주)동우스페이스,충청남도 아산시 선장면 부엉산길 24 (동우스페이스) 외 1필지,"25119, ",기타 구조용 금속제품 제조업
202,(주)동원에프앤비,충청남도 아산시 둔포면 윤보선로 320,"10121, 10122, 10129, 10211, 10619, 10711, 10751, 10759, 10799",가금류 가공 및 저장 처리업 외 8 종
203,(주)동원제관,충청남도 아산시 염치읍 현대로 302 (총 5 필지) 외 4필지,"25991, ",금속 캔 및 기타 포장용기 제조업
204,(주)동원제관 2공장,충청남도 아산시 염치읍 현대로 292,"25991, ",금속 캔 및 기타 포장용기 제조업
205,(주)동원홈푸드,충청남도 아산시 영인면 신봉길 288,"10121, 10122, 10129, 10211, 10301, 10302, 10309, 10613, 10742, 10749, 10751, 10759, 10793, 10797, 10799",가금류 가공 및 저장 처리업 외 14 종
206,(주)동이테크,"충청남도 아산시 둔포면 봉신로 286-11, .","16299, ",그 외 기타 나무제품 제조업
207,(주)동일에이앤티,"충청남도 아산시 음봉면 음봉로 371, 2동","25112, ",구조용 금속 판제품 및 공작물 제조업
