순번,회사명,공장대표주소(도로명),업종번호,업종명
208,(주)동진테크,충청남도 아산시 영인면 윤보선로285번길 77,"31999, ",그 외 기타 달리 분류되지 않은 운송장비 제조업
209,(주)동진하이텍,충청남도 아산시 영인면 신봉길232번길 126,"29294, 22241, 22249, 25913, 25914",주형 및 금형 제조업 외 4 종
210,(주)동해금속,충청남도 아산시 선장면 학성로122번길 120 (동해금속),"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
211,(주)동해기업,충청남도 아산시 음봉면 음봉면로 188-33,"28511, ",주방용 전기기기 제조업
212,(주)동해이엔지,충청남도 아산시 음봉면 음봉로415번길 14-7,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
213,(주)동현에스앤에프,충청남도 아산시 영인면 토정로 198,"13229, 27213, 29272",기타 직물제품 제조업 외 2 종
214,(주)동호이엔지,충청남도 아산시 음봉면 월암로436번길 96-22,"25112, ",구조용 금속 판제품 및 공작물 제조업
215,(주)동호테크,충청남도 아산시 둔포면 관대안길 56,"27193, 27301",안경 및 안경렌즈 제조업 외 1 종
216,(주)동호테크,충청남도 아산시 둔포면 관대안길 21,"27301, ",광학렌즈 및 광학요소 제조업
217,(주)동훈산업,충청남도 아산시 인주면 현대로 747 ((주)동훈산업) 외 1필지,"30331, 13229, 30399",자동차용 신품 동력전달장치 제조업 외 2 종
218,(주)동희,충청남도 아산시 서부남로 150 -46(선장면),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
219,(주)두라푸드,충청남도 아산시 음봉면 연암율금로 272,"10619, 10713",기타 곡물가공품 제조업 외 1 종
220,(주)두올,충청남도 아산시 신창면 서부남로 611,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
221,(주)두원,충청남도 아산시 음봉면 음봉면로 90,"30399, ",그 외 자동차용 신품 부품 제조업
222,(주)두원(제2공장),충청남도 아산시 음봉면 음봉면로 82,"30399, ",그 외 자동차용 신품 부품 제조업
223,(주)두원공조,충청남도 아산시 음봉면 연암율금로 43,"30399, ",그 외 자동차용 신품 부품 제조업
224,(주)두원냉기,충청남도 아산시 도고면 온천대로222번길 22-5,"30399, 24222, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 4 종
225,(주)두원냉기,충청남도 아산시 월선길 4 -16(영인면) 두원전자(1층),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
226,(주)두원냉기(음봉공장),충청남도 아산시 음봉면 연암율금로 43-1,"30399, ",그 외 자동차용 신품 부품 제조업
227,(주)두원물류,충청남도 아산시 음봉면 음봉면로16번길 47-16,"29241, 34011",건설 및 채광용 기계장비 제조업 외 1 종
228,(주)두원전자,"충청남도 아산시 월선길 4-16, 외 2필지 (영인면)","30399, ",그 외 자동차용 신품 부품 제조업
229,(주)두정테크,충청남도 아산시 둔포면 해위안길 92,"30399, ",그 외 자동차용 신품 부품 제조업
230,(주)둔포기계,충청남도 아산시 영인면 윤보선로248번길 36,"29280, 28123, 29169",산업용 로봇 제조업 외 2 종
231,(주)둔포기계,충청남도 아산시 영인면 윤보선로248번길 1,"28909, ",그 외 기타 전기장비 제조업
232,(주)드림텍,충청남도 아산시 신창면 서부북로 929,"30399, 30391, 30392",그 외 자동차용 신품 부품 제조업 외 2 종
233,(주)드림텍홀딩스,충청남도 아산시 신창면 서부북로 929,"29294, ",주형 및 금형 제조업
234,(주)드림티엔씨,충청남도 아산시 신창면 서부북로 929,"30391, ",자동차용 신품 조향장치 및 현가 장치 제조업
235,(주)들녘,충청남도 아산시 인주면 아산호로 23-46 (국립수의과학연구원) 외 1필지,"10111, 10112",육류 도축업(가금류 제외) 외 1 종
236,(주)디디디,충청남도 아산시 둔포면 봉신로 104-15,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
237,(주)디디디제2공장,"충청남도 아산시 둔포면 봉신로 104-15, (봉재리 195-31번지)","30399, 30391, 30392, 30393, 30400, 31202, 31322",그 외 자동차용 신품 부품 제조업 외 6 종
238,(주)디바이스이엔지,충청남도 아산시 음봉면 삼거리 3-13번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종
239,(주)디비,충청남도 아산시 둔포면 아산호로840번길 82,"25113, 24133, 25114, 29173",육상 금속 골조 구조재 제조업 외 3 종
240,(주)디앤에이시스템,충청남도 아산시 음봉면 음봉로681번길 40-27,"29272, ",디스플레이 제조용 기계 제조업
241,(주)디에스솔라에너지,충청남도 아산시 둔포면 관용로 240,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종"
242,(주)디에스시 2공장,충청남도 아산시 신창면 서부남로 653,"30399, ",그 외 자동차용 신품 부품 제조업
243,(주)디에스시 아산공장 1공장,충청남도 아산시 오목길 14 (신창면),"30399, ",그 외 자동차용 신품 부품 제조업
244,(주)디에스시영인,충청남도 아산시 영인면 토정로 103 외 2필지,"30399, 25913, 25914, 29294, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 6 종
245,(주)디에스아이,충청남도 아산시 영인면 월선서길 60,"30399, ",그 외 자동차용 신품 부품 제조업
246,(주)디에스티솔루션,"충청남도 아산시 둔포면 관용로 199-6, 2동 외 1필지","30393, ",자동차용 신품 의자 제조업
247,(주)디에이치,충청남도 아산시 둔포면 운교길 134,"22241, 22249, 29294",운송장비 조립용 플라스틱제품 제조업 외 2 종
248,(주)디에이치솔루션즈,"충청남도 아산시 청운로 182-23, 1층 (권곡동)","28123, ",배전반 및 전기 자동제어반 제조업
249,(주)디에이치피,충청남도 아산시 영인면 신현로23번길 64-5,"30399, 22241, 22249, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 5 종
250,(주)디엠아이,충청남도 아산시 신창면 가내길 86,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
251,(주)디엠테크,충청남도 아산시 신창면 학성로 100-2,"22222, ",설치용 및 위생용 플라스틱제품 제조업
252,(주)디엠티,충청남도 아산시 인주면 인주산단로 123-59,"30399, 25922, 30391, 30392",그 외 자동차용 신품 부품 제조업 외 3 종
253,(주)디엠티,충청남도 아산시 인주면 인주산단로 123-47,"30399, 25922, 30391, 30392",그 외 자동차용 신품 부품 제조업 외 3 종
254,(주)디와이스틸,충청남도 아산시 삼봉로 25 (선장면),"24199, ",그 외 기타 1차 철강 제조업
255,(주)디웰테크,충청남도 아산시 둔포면 관대길 30,"28909, ",그 외 기타 전기장비 제조업
256,(주)디자인메카,"충청남도 아산시 선문로221번길 70, 산학협력관 생산시스템기술연구소 (탕정면)","25934, ",톱 및 호환성 공구 제조업
257,(주)디지털,충청남도 아산시 음봉면 산동로 123,"29172, ",공기 조화장치 제조업
258,(주)디지털아이덴티티솔루션코리아,충청남도 아산시 영인면 신봉길242번길 35-6,"22212, 17901, 22213",플라스틱 필름 제조업 외 2 종
259,(주)디투엔지니어링,충청남도 아산시 음봉면 월산로 128-137,"28123, ",배전반 및 전기 자동제어반 제조업
260,(주)라이크퓨리티,충청남도 아산시 영인면 고룡산로 548,"13229, ",기타 직물제품 제조업
261,(주)라인,충청남도 아산시 아산로710번길 34 (염치읍),"28511, ",주방용 전기기기 제조업
262,(주)랑진글로벌,충청남도 아산시 영인면 토정샘로 22 외 3필지,"13229, ",기타 직물제품 제조업
263,(주)레더스,충청남도 아산시 월산로 236 -4(음봉면),"29271, ",반도체 제조용 기계 제조업
264,(주)로드에프,충청남도 아산시 신정로 333-12(초사동),"20499, ",그 외 기타 분류 안된 화학제품 제조업
265,(주)로드팩토리,"충청남도 아산시 신창면 순천향로 22, E308호(순천향대학교내, 앙뜨레프레너관)","22192, 22221, 22291, 33910",산업용 그 외 비경화 고무제품 제조업 외 3 종
266,(주)로만씰,충청남도 아산시 음봉면 산동로 323-12,"31322, 22191",항공기용 부품 제조업 외 1 종
267,(주)로봇기술,"충청남도 아산시 신창면 순천향로 22, (산학협동관 B동 530호)","28901, ",전기경보 및 신호장치 제조업
268,(주)로텍아이엔티,충청남도 아산시 음봉면 월암로436번길 81-16,"29280, 29299",산업용 로봇 제조업 외 1 종
269,(주)루맥스,충청남도 아산시 신창면 가내길 190,"28422, 22232",일반용 전기 조명장치 제조업 외 1 종
270,(주)루브필코리아,충청남도 아산시 음봉면 월산로 128-132,"19221, ",윤활유 및 그리스 제조업
271,(주)리싸이텍,충청남도 아산시 둔포면 봉신로 107,"17229, ",기타 종이 상자 및 용기 제조업
272,(주)리템,충청남도 아산시 음봉면 산동안길70번길 3 외 1필지,"29171, ",산업용 냉장 및 냉동 장비 제조업
273,(주)마스팜,"충청남도 아산시 탕정면 선문로221번길 70, 산학협력관 420A호","29210, ",농업 및 임업용 기계 제조업
274,(주)말타니,충청남도 아산시 음봉면 음봉면로 80,"28422, ",일반용 전기 조명장치 제조업
275,(주)맘마유농업회사법인,충청남도 아산시 배방읍 온천대로 1819-24,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업
276,(주)맛나푸드,충청남도 아산시 신창면 궁화로 147,"10121, ",가금류 가공 및 저장 처리업
277,(주)맛있는 음식,"충청남도 아산시 염치읍 은행나무길 223, 3층 310-1호","10713, ",과자류 및 코코아 제품 제조업
278,(주)매트릭스,충청남도 아산시 음봉면 월암로436번길 79-16,"27212, ","전자기 측정, 시험 및 분석기구 제조업"
279,(주)메디켐스,"충청남도 아산시 신창면 순천향로 22, 306호","27199, ",그 외 기타 의료용 기기 제조업
280,(주)메이스,충청남도 아산시 음봉면 월암로436번길 96-12,"29271, 29272",반도체 제조용 기계 제조업 외 1 종
281,(주)메이텍,"충청남도 아산시 배방읍 호서로79번길 20, 호서대 산학협동 3/101","29271, 29272",반도체 제조용 기계 제조업 외 1 종
282,(주)메티스,충청남도 아산시 음봉면 신휴리 780번지,"29271, ",반도체 제조용 기계 제조업
283,(주)명도전기,충청남도 아산시 염치읍 현대로 16-27,"24222, 28302","알루미늄 압연, 압출 및 연신제품 제조업 외 1 종"
284,(주)명보피앤씨,충청남도 아산시 음봉면 연암율금로 582-15,"29175, ",액체 여과기 제조업
285,(주)명인,충청남도 아산시 음봉면 음봉로586번길 64-1,"13229, ",기타 직물제품 제조업
286,(주)모닝바이오,충청남도 아산시 음봉면 산동로 271-20 외 1필지,"10802, ",단미 사료 및 기타 사료 제조업
287,(주)모재정밀,"충청남도 아산시 음봉면 월산로 216-26, 2동","29294, ",주형 및 금형 제조업
288,(주)무진,충청남도 아산시 음봉면 연암율금로295번길 78-15 ((주)무진산업) 외 1필지,"29271, ",반도체 제조용 기계 제조업
289,(주)무창,충청남도 아산시 선장면 서부남로 199-28 오로라,"30399, ",그 외 자동차용 신품 부품 제조업
290,(주)미래기계기술,충청남도 아산시 둔포면 아산밸리로388번길 48-8,"29271, ",반도체 제조용 기계 제조업
291,(주)미래기계기술,충청남도 아산시 둔포면 아산밸리중앙로 154-47,"25923, ",도장 및 기타 피막처리업
292,(주)미래기업,충청남도 아산시 서부남로566번길 58 (신창면),"30399, 25923",그 외 자동차용 신품 부품 제조업 외 1 종
293,(주)미래엔지니어링,충청남도 아산시 음봉면 연암율금로 288-7,"25929, ",그 외 기타 금속가공업
294,(주)미래이앤씨,충청남도 아산시 음봉면 신수리길 104-25,"22232, ",포장용 플라스틱 성형용기 제조업
295,(주)미래피엔티,충청남도 아산시 둔포면 아산밸리중앙로 171-20,"29291, ",펄프 및 종이 가공용 기계 제조업
296,(주)미소전기,충청남도 아산시 음봉면 월산로 128-137,"28123, ",배전반 및 전기 자동제어반 제조업
297,(주)미스바알텍,"충청남도 아산시 배방읍 호서로79번길 20, 벤처산학협력관 501호 (호서대학교)","10797, ",건강기능식품 제조업
298,(주)미코명진,충청남도 아산시 둔포면 아산밸리남로 189,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
299,(주)바이오스마트,충청남도 아산시 온천대로1122번길 36-16 (득산동),"26293, ",전자카드 제조업
300,(주)바이오스탠다드,"충청남도 아산시 배방읍 호서로79번길 20, 5층 501호(호서대학교 벤처산학협력관)","21300, ",의료용품 및 기타 의약 관련제품 제조업
301,(주)바이오시엠,"충청남도 아산시 신창면 순천향로 22, 산학협력관 520호 (신창면)","20422, 20423","치약, 비누 및 기타 세제 제조업 외 1 종"
302,(주)바이오시엠,충청남도 아산시 온천대로1122번길 26(득산동),"20423, ",화장품 제조업
303,(주)바이텍시스템,충청남도 아산시 음봉면 음봉면로16번길 45-1,"29271, 29272",반도체 제조용 기계 제조업 외 1 종
304,(주)반도인더스,충청남도 아산시 둔포면 아산밸리동로 292 ((주)반도인더스),"29169, 29162",기타 물품 취급장비 제조업 외 1 종
305,"(주)발맥스기술(VALMAX Co.,Ltd)",충청남도 아산시 둔포면 아산밸리로387번길 10,"29133, 25122, 25123, 25130, 29132","탭, 밸브 및 유사장치 제조업 외 4 종"
306,(주)방주산업,충청남도 아산시 배방읍 장재리 601번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
307,(주)범원,충청남도 아산시 영인면 아산호로 686,"22249, 22299, 25924, 31311",기타 기계.장비 조립용 플라스틱 제품 제조업 외 3 종
308,(주)범훈,충청남도 아산시 실옥동  105 외1필지,"30201, 30202",차체 및 특장차 제조업 외 1 종
309,(주)베스트엔지니어링,충청남도 아산시 음봉면 월산로 128-159,"28123, 28303, 29299",배전반 및 전기 자동제어반 제조업 외 2 종
310,(주)베이스,충청남도 아산시 둔포면 윤보선로336번길 49 (총 2 필지),"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
311,(주)보고이엔지,충청남도 아산시 둔포면 운교길126번길 79-3 (둔포면 운교리 189-10 공장 ((주)보고이엔지)),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
