순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
177,(주)미광엔텍,"경상북도 포항시 남구 지곡로 394, 제1벤처동 B109, B110, B111(지곡동, 포항테크노파크)(지곡동, 포항테크노파크)",LED조명,전구 및 램프 제조업 외 7 종,2025-08-13
178,(주)미드바르,"경상북도 포항시 북구 흥해읍 한동로 558, 창업보육센터 F103호",스마트팜 시스템,농업 및 임업용 기계 제조업,2025-08-13
179,(주)미드바르,"경상북도 포항시 북구 흥해읍 융합기술로 66, 503호, 506호",농작물 자동 재배기,농업 및 임업용 기계 제조업,2025-08-13
180,(주)미라클,경상북도 포항시 북구 흥해읍 도음로 772,"조명기기, 통신기기",일반용 전기 조명장치 제조업,2025-08-13
181,(주)미래세라텍,경상북도 포항시 북구 청하면 동해대로2315번길 54-6 ((주)미래세라텍),세라믹제품,정형 내화 요업제품 제조업 외 1 종,2025-08-13
182,(주)미래세라텍,"경상북도 포항시 남구 동해면 정동길 516, 제조4블럭 1로트",이차전지 음극재 소성용기,정형 내화 요업제품 제조업 외 1 종,2025-08-13
183,(주)미래씨앤지,경상북도 포항시북구 신광면 냉수리 586 번지,"Carbon Fiber Pellet, Carbon Fiber Chopped",그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,2025-08-13
184,(주)미래이엔씨,"경상북도 포항시 북구 우창동로21번길 6, 미래빌딩 4층 (우현동)",CCTV카메라,방송장비 제조업,2025-08-13
185,(주)미보수산,경상북도 포항시 남구 구룡포읍 일출로 308-7,선어빙온가공제품,기타 수산동물 가공 및 저장 처리업,2025-08-13
186,(주)바다물,경상북도 포항시 북구 송라면 해안로 2717 외 3필지,"생수,식염수",생수 생산업,2025-08-13
187,(주)바이오빈피앤에프,경상북도 포항시 남구 상도로16번길 30 (상도동) 외 1필지,홍삼관련제품,인삼식품 제조업,2025-08-13
188,(주)바이오앱,"경상북도 포항시 남구 지곡로 394, 포항테크노파크단지내 (주)바이오앱 (지곡동)",동물용의약품,동물용 의약품 제조업,2025-08-13
189,(주)반도이앤지,경상북도 포항시 남구 연일읍 철강로 123-7,천정크레인,기타 물품 취급장비 제조업,2025-08-13
190,(주)반석제어기술,경상북도 포항시 북구 양덕남로 79(양덕동),"계측제어시스템장치, 측정기기, 기계장치","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2025-08-13
191,(주)백두,경상북도 포항시 북구 흥해읍 삼흥로502번길 10-1,전기자동 제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
192,(주)백산금속 포항공장,경상북도 포항시남구 오천읍 문덕리 1347-3번지,아연,"연 및 아연 제련, 정련 및 합금 제조업",2025-08-13
193,(주)버텍스,경상북도 포항시 남구 대송면 제내길19번길 18,유압기기 부속품,유압기기 제조업,2025-08-13
194,(주)범비에스티,경상북도 포항시 남구 철강산단로130번길 187-6 (오천읍),티타늄 가공품 ,"증류기, 열교환기 및 가스발생기 제조업 외 2 종",2025-08-13
195,(주)범아산업,경상북도 포항시 남구 연일읍 동문로40번길 43-24,금속조립품,육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
196,(주)범아산업 제2공장,경상북도 포항시 남구 대송면 제내길53번길 37-1,기계부품,육상 금속 골조 구조재 제조업,2025-08-13
197,(주)베스트컨트롤,경상북도 포항시 남구 대송면 송동리 788-3번지,전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
198,(주)베스트켐엔텍,경상북도 포항시 남구 대송면 대송로 37-25,조립용 금속 골재 구조재,육상 금속 골조 구조재 제조업,2025-08-13
199,(주)보광이앤에스,경상북도 포항시 남구 연일읍 형산강남로418번길 2,전기자동 제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
200,(주)보광테크,경상북도 포항시 북구 침촌마을길 16 (장성동),전기식 지시저울,그 외 기타 일반목적용 기계 제조업,2025-08-13
201,(주)보다,"경상북도 포항시 남구 청암로 77, 첨단기술사업화센터 R&D동 401호, c-1000호(지곡동, 포항공과대학교)",열화상센서,전자감지장치 제조업,2025-08-13
202,(주)보부식품,경상북도 포항시 북구 신광면 비학로 759,"면류, 소스류, 탕 등","면류, 마카로니 및 유사식품 제조업 외 2 종",2025-08-13
203,(주)부경목재,경상북도 포항시 북구 청하면 동해대로 2133-9,"제재목, 파레트",일반 제재업,2025-08-13
204,(주)부원테크,경상북도 포항시 남구 연일읍 동문로94번길 42-10,"캐리어, 보빈, 크레인",육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
205,(주)부창산업,경상북도 포항시 남구 희망대로 707 (상도동),"근무복, 작업복 및 유사의복 제조","근무복, 작업복 및 유사의복 제조업 외 17 종",2025-08-13
206,(주)브릿지,경상북도 포항시 남구 연일읍 동문로 17,"계측기기, 레이더 수위계",그 외 기타 전자부품 제조업 외 4 종,2025-08-13
207,(주)브이엠티,경상북도 포항시 남구 이동로7번길 59 (이동),진공이온펌프및제어기,"물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-08-13
208,(주)블럭나인,,이차전지 메쉬망 분급틀,광물처리 및 취급장비 제조업,2025-08-13
209,(주)블럭나인,경상북도 포항시 북구 청하면 동해대로2315번길 42,"자동권선기, 로봇자동화설비",그 외 기타 특수목적용 기계 제조업,2025-08-13
210,(주)비앤드케이,경상북도 포항시 남구 연일읍 철강로107번길 80-8 외 4필지,선입철,기타 제철 및 제강업,2025-08-13
211,(주)비앤비스틸,경상북도 포항시 남구 대송면 송덕로126번길 43 (대송면),STS고철,금속류 해체 및 선별업 외 1 종,2025-08-13
212,(주)비에스,"경상북도 포항시 북구 양덕로6번길 52, (1층건물중 각지 점포) (양덕동)","무인사진촬영장치, 키오스크",기타 광학기기 및 사진기 제조업,2025-08-13
213,(주)비에스시시,경상북도 포항시 남구 오천읍 철강산단로130번길 212 (부산공조),"공조기, 에어컨",가정용 및 산업용 공기 조화장치 제조업 외 1 종,2025-08-13
214,(주)비에스원,경상북도 포항시 남구 연일읍 철강로107번길 74,2차전지 양극재 소성용기,위생용 및 산업용 도자기 제조업,2025-08-13
215,(주)비에스티,경상북도 포항시 남구 연일읍 형산강남로436번길 22,금속판제품,구조용 금속 판제품 및 공작물 제조업,2025-08-13
216,(주)비왕산업,경상북도 포항시 북구 기계면 새마을로1314번길 39,비료,복합비료 및 기타 화학비료 제조업 외 1 종,2025-08-13
217,(주)비젼,경상북도 포항시 남구 연일읍 적계지길 34,배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
218,(주)사인블루,경상북도 포항시 북구 흥해읍 삼흥로502번길 10,"3d 프린트 장비, 조명등,광고등",디지털 적층 성형기계 제조업 외 1 종,2025-08-13
219,(주)삼명금속,경상북도 포항시 남구 대송면 송덕로 42,CO2 용접봉,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-08-13
220,(주)삼민중공업,경상북도 포항시 남구 운하로 239 (송도동) 외 1필지,"선박, 강구조물",강선 건조업 외 3 종,2025-08-13
221,(주)삼민중공업,"경상북도 포항시 북구 흥해읍 영일만산단로 246-39, (흥해읍 용한리 867, 868)","선박, 선박블럭",강선 건조업 외 3 종,2025-08-13
222,(주)삼부테크,경상북도 포항시북구 신광면 우각리 708-1번지 외 5필지,산업용 포장지,"적층, 합성 및 특수표면처리 종이 제조업",2025-08-13
223,(주)삼성,경상북도 포항시 남구 동해면 일월로278번길 74,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,2025-08-13
224,(주)삼신,"경상북도 포항시 북구 청하면 용산길 196, (신흥리 578-8, 이가리 828-1)",철구조물,육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
225,(주)삼신 2공장,경상북도 포항시 북구 흥해읍 동해대로 1952 외 2필지,산업기계,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
226,(주)삼영엔지니어링,경상북도 포항시 남구 연일읍 형산강남로418번길 66-9,제철 설비,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
227,(주)삼우이앤씨,경상북도 포항시 북구 흥해읍 덕장길 207,철구조제,육상 금속 골조 구조재 제조업 외 8 종,2025-08-13
228,(주)삼원강재,경상북도 포항시 남구 대송면 철강산단로66번길 40 (삼원강재),"평강, 환강, 겹판스프링",열간 압연 및 압출 제품 제조업 외 1 종,2025-08-13
229,(주)삼원강재 섬안공장,경상북도 포항시 남구 섬안로 30 (괴동동),겹판스프링,그 외 자동차용 신품 부품 제조업,2025-08-13
230,(주)삼원강재 호동공장,경상북도 포항시 남구 호동로58번길 16 (호동),인발재 외,그 외 자동차용 신품 부품 제조업,2025-08-13
231,(주)삼원종합상사,광명산단로86번길 20  광명일반산업단지 6B 2L,"스테인레스 제품(판재 , 파이프, 배관자재 )",절삭가공 및 유사처리업,2025-08-13
232,(주)삼일 ,경상북도 포항시 남구 호동로58번길 6 (호동) 외 1필지,보관창고 ,기타 보관 및 창고업 외 1 종,2025-08-13
233,(주)삼일물류터미널,경상북도 포항시 남구 대송면 송덕로 125-15 ((주)삼일물류터미널),화물터미널,물류 터미널 운영업,2025-08-13
234,(주)삼일이알씨,"경상북도 포항시 남구 철강로 159 (장흥동, 삼일E.R.C.)",건설기계부품제작 및 정비,건설 및 채광용 기계장비 제조업,2025-08-13
235,(주)삼정산업,경상북도 포항시 북구 청하면 용산길 187,블럭성형기기외,그 외 기타 금속가공업,2025-08-13
236,(주)삼현비앤이,경상북도 포항시 북구 흥해읍 덕장길 229 (총 6 필지) 외 5필지,교량구조용 빔,육상 금속 골조 구조재 제조업 외 3 종,2025-08-13
237,(주)상미산업,경상북도 포항시북구 청하면 미남리 311-7번지 외 2필지 외 2필지,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
238,(주)상인기업1공장,경상북도 포항시 남구 오천읍 오어로 295,"수송용기계기구,기계제작",구조용 금속 판제품 및 공작물 제조업,2025-08-13
239,(주)상인기업2공장,경상북도 포항시 남구 오천읍 오어로 295,칼라시트,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
240,(주)상정그린에너지,,전기,기타 발전업 외 1 종,2025-08-13
241,(주)새텍,경상북도 포항시 남구 대이로1번길 4 (대잠동),"산업용 컴퓨터, PLC",컴퓨터 제조업 외 3 종,2025-08-13
242,(주)서강금속,경상북도 포항시 남구 연일읍 동문로76번길 33,"코드와이어, 규회석",비금속광물 분쇄물 생산업 외 1 종,2025-08-13
243,(주)서광산업,경상북도 포항시 북구 흥해읍 동해대로 1896-6,복층유리 금속제창 합성수지제창,안전유리 제조업 외 3 종,2025-08-13
244,(주)서울산업,경상북도 포항시 북구 신광면 비학로 564,산업용 설비 및 기계부품,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
245,(주)서울스텐,,기계장비 부분품,그 외 금속 압형제품 제조업,2025-08-13
246,(주)서일테크,경상북도 포항시 북구 청하면 신흥리 572-1번지,철구조재,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
247,(주)선그린,경상북도 포항시 북구 흥해읍 동해대로 1845,칼라시트,구조용 금속 판제품 및 공작물 제조업,2025-08-13
248,(주)성문정보통신,경상북도 포항시 남구 효자로 126 (대잠동),"음향기기, 폐쇄회로 카메라",기타 음향기기 제조업 외 5 종,2025-08-13
249,(주)성일에스엠,경상북도 포항시 북구 기계면 내단길86번길 19-47,금속씽크대,금속 위생용품 제조업 외 2 종,2025-08-13
250,(주)성주테크,경상북도 포항시 남구 오천읍 하원로54번길 16-7,특수목적 컴퓨터,컴퓨터 제조업,2025-08-13
251,(주)성진이앤아이,경상북도 포항시북구 흥해읍 용한리 880 번지,기계부품(roller),유압기기 제조업 외 33 종,2025-08-13
252,(주)성진철강,경상북도 포항시 남구 대송면 철강산단로66번길 101 ((주)성진철강),고철가공,금속류 해체 및 선별업 외 1 종,2025-08-13
253,(주)성창에이씨에이,경상북도 포항시 남구 연일읍 동문로76번길 62,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
254,(주)성한,경상북도 포항시 남구 대송면 운제로 475 외 1필지,"유압, 윤활바동공급장치",유압기기 제조업,2025-08-13
255,(주)성해기공,경상북도 포항시 남구 연일읍 형산강남로436번길 12,가공룰,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
256,(주)성호,"경상북도 포항시 북구 청하면 비학로 1867, A동","소스류(냉면육수, 양념장, 겨자소스)",기타 식품 첨가물 제조업,2025-08-13
257,(주)세경정보통신,경상북도 포항시 남구 연일읍 원서길118번길 10,CCTV,방송장비 제조업,2025-08-13
258,(주)세기,"경상북도 포항시 남구 철강산단로 202 (장흥동, (주)세기)","비료,휠라,코크스",복합비료 및 기타 화학비료 제조업 외 3 종,2025-08-13
259,(주)세신스틸,경상북도 포항시 남구 오천읍 철강산단로130번길 207-6,금속가공품,그 외 기타 금속가공업,2025-08-13
260,(주)세아제강 문덕공장,경상북도 포항시 남구 오천읍 송덕로 228-11 외 1필지,강관,강관 제조업 외 1 종,2025-08-13
261,(주)세아제강 제1단지공장,"경상북도 포항시 남구 괴동로 136 (장흥동, 세아제강)",강관,강관 제조업 외 1 종,2025-08-13
262,(주)세아제강 제2단지공장,"경상북도 포항시 남구 괴동로 136 (호동, 세아제강)",강관,강관 제조업 외 1 종,2025-08-13
263,(주)세아특수강,"경상북도 포항시 남구 괴동로 40 (장흥동, 세아특수강)","냉간압조용선재,마봉강",철강선 제조업,2025-08-13
264,(주)세원전기,경상북도 포항시 남구 연일읍 원서길118번길 26-47,"배전반, 전기자동제어반",배전반 및 전기 자동제어반 제조업,2025-08-13
265,(주)세원테크,경상북도 포항시 북구 청하면 사방공원길 242 외 4필지,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
